date_tirage;regime;position;numero;type
2004-10-08;2004-2011 : 50 boules / 9 etoiles;boule_1;12;boule
2004-10-08;2004-2011 : 50 boules / 9 etoiles;boule_5;16;boule
2004-10-08;2004-2011 : 50 boules / 9 etoiles;boule_3;48;boule
2004-10-08;2004-2011 : 50 boules / 9 etoiles;etoile_1;2;etoile
2004-10-08;2004-2011 : 50 boules / 9 etoiles;etoile_2;6;etoile
2004-10-15;2004-2011 : 50 boules / 9 etoiles;boule_3;14;boule
2004-10-15;2004-2011 : 50 boules / 9 etoiles;boule_2;21;boule
2004-10-15;2004-2011 : 50 boules / 9 etoiles;boule_5;22;boule
2004-10-15;2004-2011 : 50 boules / 9 etoiles;boule_1;37;boule
2004-10-15;2004-2011 : 50 boules / 9 etoiles;boule_4;43;boule
2004-10-15;2004-2011 : 50 boules / 9 etoiles;etoile_1;5;etoile
2004-10-15;2004-2011 : 50 boules / 9 etoiles;etoile_2;8;etoile
2004-10-22;2004-2011 : 50 boules / 9 etoiles;boule_3;1;boule
2004-10-22;2004-2011 : 50 boules / 9 etoiles;boule_1;9;boule
2004-10-22;2004-2011 : 50 boules / 9 etoiles;boule_5;23;boule
2004-10-22;2004-2011 : 50 boules / 9 etoiles;boule_2;25;boule
2004-10-22;2004-2011 : 50 boules / 9 etoiles;boule_4;40;boule
2004-10-22;2004-2011 : 50 boules / 9 etoiles;etoile_1;3;etoile
2004-10-22;2004-2011 : 50 boules / 9 etoiles;etoile_2;9;etoile
2004-10-29;2004-2011 : 50 boules / 9 etoiles;boule_2;1;boule
2004-10-29;2004-2011 : 50 boules / 9 etoiles;boule_5;8;boule
2004-10-29;2004-2011 : 50 boules / 9 etoiles;boule_1;32;boule
2004-10-29;2004-2011 : 50 boules / 9 etoiles;boule_4;35;boule
2004-10-29;2004-2011 : 50 boules / 9 etoiles;boule_3;38;boule
2004-10-29;2004-2011 : 50 boules / 9 etoiles;etoile_2;4;etoile
2004-10-29;2004-2011 : 50 boules / 9 etoiles;etoile_1;9;etoile
2004-11-05;2004-2011 : 50 boules / 9 etoiles;boule_5;6;boule
2004-11-05;2004-2011 : 50 boules / 9 etoiles;boule_4;19;boule
2004-11-05;2004-2011 : 50 boules / 9 etoiles;boule_1;25;boule
2004-11-05;2004-2011 : 50 boules / 9 etoiles;boule_2;42;boule
2004-11-05;2004-2011 : 50 boules / 9 etoiles;boule_3;49;boule
2004-11-05;2004-2011 : 50 boules / 9 etoiles;etoile_1;1;etoile
2004-11-05;2004-2011 : 50 boules / 9 etoiles;etoile_2;7;etoile
2004-11-12;2004-2011 : 50 boules / 9 etoiles;boule_3;4;boule
2004-11-12;2004-2011 : 50 boules / 9 etoiles;boule_5;11;boule
2004-11-12;2004-2011 : 50 boules / 9 etoiles;boule_1;12;boule
2004-11-12;2004-2011 : 50 boules / 9 etoiles;boule_2;13;boule
2004-11-12;2004-2011 : 50 boules / 9 etoiles;boule_4;32;boule
2004-11-12;2004-2011 : 50 boules / 9 etoiles;etoile_2;3;etoile
2004-11-12;2004-2011 : 50 boules / 9 etoiles;etoile_1;9;etoile
2004-11-19;2004-2011 : 50 boules / 9 etoiles;boule_5;1;boule
2004-11-19;2004-2011 : 50 boules / 9 etoiles;boule_4;18;boule
2004-11-19;2004-2011 : 50 boules / 9 etoiles;boule_2;29;boule
2004-11-19;2004-2011 : 50 boules / 9 etoiles;boule_3;34;boule
2004-11-19;2004-2011 : 50 boules / 9 etoiles;boule_1;37;boule
2004-11-19;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2004-11-19;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-11-26;2004-2011 : 50 boules / 9 etoiles;boule_2;1;boule
2004-11-26;2004-2011 : 50 boules / 9 etoiles;boule_4;4;boule
2004-11-26;2004-2011 : 50 boules / 9 etoiles;boule_1;24;boule
2004-11-26;2004-2011 : 50 boules / 9 etoiles;boule_3;34;boule
2004-11-26;2004-2011 : 50 boules / 9 etoiles;boule_5;36;boule
2004-11-26;2004-2011 : 50 boules / 9 etoiles;etoile_2;6;etoile
2004-11-26;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2004-12-03;2004-2011 : 50 boules / 9 etoiles;boule_4;1;boule
2004-12-03;2004-2011 : 50 boules / 9 etoiles;boule_3;11;boule
2004-12-03;2004-2011 : 50 boules / 9 etoiles;boule_1;15;boule
2004-12-03;2004-2011 : 50 boules / 9 etoiles;boule_2;42;boule
2004-12-03;2004-2011 : 50 boules / 9 etoiles;boule_5;49;boule
2004-12-03;2004-2011 : 50 boules / 9 etoiles;etoile_2;3;etoile
2004-12-03;2004-2011 : 50 boules / 9 etoiles;etoile_1;4;etoile
2004-12-10;2004-2011 : 50 boules / 9 etoiles;boule_4;1;boule
2004-12-10;2004-2011 : 50 boules / 9 etoiles;boule_1;3;boule
2004-12-10;2004-2011 : 50 boules / 9 etoiles;boule_2;13;boule
2004-12-10;2004-2011 : 50 boules / 9 etoiles;boule_5;16;boule
2004-12-10;2004-2011 : 50 boules / 9 etoiles;boule_3;43;boule
2004-12-10;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2004-12-10;2004-2011 : 50 boules / 9 etoiles;etoile_1;7;etoile
2004-12-17;2004-2011 : 50 boules / 9 etoiles;boule_4;15;boule
2004-12-17;2004-2011 : 50 boules / 9 etoiles;boule_3;19;boule
2004-12-17;2004-2011 : 50 boules / 9 etoiles;boule_2;22;boule
2004-12-17;2004-2011 : 50 boules / 9 etoiles;boule_5;46;boule
2004-12-17;2004-2011 : 50 boules / 9 etoiles;boule_1;49;boule
2004-12-17;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2004-12-17;2004-2011 : 50 boules / 9 etoiles;etoile_1;9;etoile
2004-12-24;2004-2011 : 50 boules / 9 etoiles;boule_1;3;boule
2004-12-24;2004-2011 : 50 boules / 9 etoiles;boule_4;4;boule
2004-12-24;2004-2011 : 50 boules / 9 etoiles;boule_2;27;boule
2004-12-24;2004-2011 : 50 boules / 9 etoiles;boule_3;29;boule
2004-12-24;2004-2011 : 50 boules / 9 etoiles;boule_5;37;boule
2004-12-24;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2004-12-24;2004-2011 : 50 boules / 9 etoiles;etoile_1;6;etoile
2004-12-31;2004-2011 : 50 boules / 9 etoiles;boule_2;7;boule
2004-12-31;2004-2011 : 50 boules / 9 etoiles;boule_1;8;boule
2004-12-31;2004-2011 : 50 boules / 9 etoiles;boule_5;24;boule
2004-12-31;2004-2011 : 50 boules / 9 etoiles;boule_4;25;boule
2004-12-31;2004-2011 : 50 boules / 9 etoiles;boule_3;47;boule
2004-12-31;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2004-12-31;2004-2011 : 50 boules / 9 etoiles;etoile_2;9;etoile
2005-01-07;2004-2011 : 50 boules / 9 etoiles;boule_4;3;boule
2005-01-07;2004-2011 : 50 boules / 9 etoiles;boule_5;23;boule
2005-01-07;2004-2011 : 50 boules / 9 etoiles;boule_2;27;boule
2005-01-07;2004-2011 : 50 boules / 9 etoiles;boule_3;47;boule
2005-01-07;2004-2011 : 50 boules / 9 etoiles;boule_1;50;boule
2005-01-07;2004-2011 : 50 boules / 9 etoiles;etoile_2;2;etoile
2005-01-07;2004-2011 : 50 boules / 9 etoiles;etoile_1;3;etoile
2005-01-14;2004-2011 : 50 boules / 9 etoiles;boule_4;6;boule
2005-01-14;2004-2011 : 50 boules / 9 etoiles;boule_1;11;boule
2005-01-14;2004-2011 : 50 boules / 9 etoiles;boule_2;14;boule
2005-01-14;2004-2011 : 50 boules / 9 etoiles;boule_5;19;boule
2005-01-14;2004-2011 : 50 boules / 9 etoiles;boule_3;29;boule
2005-01-14;2004-2011 : 50 boules / 9 etoiles;etoile_2;1;etoile
2005-01-14;2004-2011 : 50 boules / 9 etoiles;etoile_1;3;etoile
2005-01-21;2004-2011 : 50 boules / 9 etoiles;boule_3;10;boule
2005-01-21;2004-2011 : 50 boules / 9 etoiles;boule_1;12;boule
2005-01-21;2004-2011 : 50 boules / 9 etoiles;boule_2;14;boule
2005-01-21;2004-2011 : 50 boules / 9 etoiles;boule_5;24;boule
2005-01-21;2004-2011 : 50 boules / 9 etoiles;boule_4;26;boule
2005-01-21;2004-2011 : 50 boules / 9 etoiles;etoile_2;5;etoile
2005-01-21;2004-2011 : 50 boules / 9 etoiles;etoile_1;8;etoile
2005-01-28;2004-2011 : 50 boules / 9 etoiles;boule_3;7;boule
2005-01-28;2004-2011 : 50 boules / 9 etoiles;boule_2;21;boule
2005-01-28;2004-2011 : 50 boules / 9 etoiles;boule_1;26;boule
2005-01-28;2004-2011 : 50 boules / 9 etoiles;boule_4;43;boule
2005-01-28;2004-2011 : 50 boules / 9 etoiles;boule_5;45;boule
